pool,x_centre,slope_median,slope_q25,slope_q75,n_blocks_fitted
5bp_WETH_USDC,-0.5,-0.8152431257310162,-1.4310171787923636,0.2744506246240329,1641
5bp_WETH_USDC,-0.49,-0.8587056622613226,-1.4442454384384067,0.5487301170434954,1641
5bp_WETH_USDC,-0.48,-0.8506065556297122,-1.4411576421370367,0.6719160836040072,1641
5bp_WETH_USDC,-0.47,-0.8509024534388063,-1.4331202224556792,0.6478896199260576,1641
5bp_WETH_USDC,-0.46,-0.855969471438576,-1.4264046530479109,0.756968091178502,1641
5bp_WETH_USDC,-0.45,-0.8494127177785724,-1.4433936619341154,1.1164395713262818,1641
5bp_WETH_USDC,-0.44,-0.9785810789027558,-1.4677661456104436,1.4225287628404988,1641
5bp_WETH_USDC,-0.43,-1.0387434431501914,-1.483969289731346,0.8434413640405881,1641
5bp_WETH_USDC,-0.42,-1.073215777761096,-1.5054504224876708,0.8369892615240961,1641
5bp_WETH_USDC,-0.41,-1.0489089647019116,-1.5002827851755514,1.2630609320637944,1641
5bp_WETH_USDC,-0.4,-1.0280692833656286,-1.5004234048610159,0.8912935682213942,1641
5bp_WETH_USDC,-0.39,-1.0237469205798035,-1.5058004601457926,0.9152172508157643,1641
5bp_WETH_USDC,-0.38,-0.9462428620542299,-1.5109811326487235,0.8786136930666166,1641
5bp_WETH_USDC,-0.37,-0.8787060784903811,-1.4800284419661305,0.8548710548172792,1641
5bp_WETH_USDC,-0.36,-0.7725868584943053,-1.4525579057610216,1.1705481604759178,1641
5bp_WETH_USDC,-0.35,-0.7421432200888195,-1.4434090969129365,1.5658947061575987,1641
5bp_WETH_USDC,-0.34,-0.6884215756104756,-1.4239914922400356,1.8518971433204705,1641
5bp_WETH_USDC,-0.33,-0.667237171983235,-1.3722441696083632,1.952356512437449,1641
5bp_WETH_USDC,-0.32,-0.510070962808433,-1.3712435374084515,2.182350802730345,1641
5bp_WETH_USDC,-0.31,-0.36139810065837896,-1.3695078037251736,3.0084758321806486,1641
5bp_WETH_USDC,-0.3,-0.01766546927943002,-1.2857548341140395,4.503825244176594,1641
5bp_WETH_USDC,-0.29,0.09843057340336535,-1.2744993803862192,5.183008036854461,1641
5bp_WETH_USDC,-0.28,0.26687342108963885,-1.2517834692176009,5.46044296423235,1641
5bp_WETH_USDC,-0.27,0.3885462265347058,-1.253196079078927,5.325294475168824,1641
5bp_WETH_USDC,-0.26,0.3475467340705517,-1.3584799884965943,5.6307652768841,1641
5bp_WETH_USDC,-0.25,0.2590115304010402,-1.2858231617931821,5.480775473841426,1641
5bp_WETH_USDC,-0.24,0.34292405306037593,-1.2961543892253304,5.317008722267693,1641
5bp_WETH_USDC,-0.23,0.11687824996145438,-1.3113867124479022,5.238613300088217,1641
5bp_WETH_USDC,-0.22,0.04763320121281576,-1.3432140344554901,5.256637242222878,1641
5bp_WETH_USDC,-0.21,0.0755822470649011,-1.391965834892961,4.571028415191577,1641
5bp_WETH_USDC,-0.2,0.16299945311691208,-1.3455278882791375,5.003896766472602,1641
5bp_WETH_USDC,-0.19,0.2933519843084506,-1.3396120973427188,4.953285535519731,1641
5bp_WETH_USDC,-0.18,0.40882782742095203,-1.1430488888533727,4.858080644770425,1641
5bp_WETH_USDC,-0.17,0.5145800495317165,-1.1573486354363278,5.690427064623736,1641
5bp_WETH_USDC,-0.16,0.7127837532518443,-1.052859801489849,5.61139023967032,1641
5bp_WETH_USDC,-0.15,0.7319913241891773,-1.081632253829682,6.174408745997629,1641
5bp_WETH_USDC,-0.14,0.8011602156154451,-1.0479093920735314,5.335616274727363,1641
5bp_WETH_USDC,-0.13,0.9238514973250239,-1.0191657127436822,6.045104878950552,1641
5bp_WETH_USDC,-0.12,0.9050010997440247,-1.0799923096874255,6.3497268501085,1641
5bp_WETH_USDC,-0.11,0.9826274382488225,-1.0121335860132306,6.461083466406577,1641
5bp_WETH_USDC,-0.1,1.5039307431475146,-0.7606394572401846,6.83330908416102,1641
5bp_WETH_USDC,-0.09,1.8083728778524033,-0.6167412757127744,7.367016879647254,1641
5bp_WETH_USDC,-0.08,1.9464268397328284,-0.44557954717362136,7.730768435557648,1641
5bp_WETH_USDC,-0.07,2.196492966993074,-0.6946028765960196,8.419343492417504,1641
5bp_WETH_USDC,-0.06,2.3533183013427315,-0.7926773200268072,9.243988372694053,1641
5bp_WETH_USDC,-0.05,2.421583951525415,-0.8225918728075096,10.560604390558403,1641
5bp_WETH_USDC,-0.04,2.4460672834354207,-0.8896014247198719,10.217599008989557,1641
5bp_WETH_USDC,-0.03,2.0945575992631857,-1.0728645011957791,8.868148473267432,1641
5bp_WETH_USDC,-0.02,1.5953667793726436,-1.3879445756240085,8.953326959015294,1641
5bp_WETH_USDC,-0.01,1.167773786973404,-2.2117404076747427,7.946663351339905,1641
5bp_WETH_USDC,0.0,-0.23456704792733601,-3.669765924536142,5.779045717809941,1641
5bp_WETH_USDC,0.01,-1.5235595089587453,-5.490210872174063,2.4903059427082455,1641
5bp_WETH_USDC,0.02,-2.153948572429091,-6.291006484282089,0.703110595007238,1641
5bp_WETH_USDC,0.03,-2.1761192044410422,-6.245605729047156,0.137435172202123,1641
5bp_WETH_USDC,0.04,-2.2515403166286334,-6.048013942542611,0.05531395442313739,1641
5bp_WETH_USDC,0.05,-2.1751370073288046,-6.15940958302092,0.11673616964092329,1641
5bp_WETH_USDC,0.06,-2.371977255930799,-6.196727139704397,-0.09078625956632003,1641
5bp_WETH_USDC,0.07,-2.478673873843304,-6.30605154096722,-0.40373811612705024,1641
5bp_WETH_USDC,0.08,-2.628711880386253,-6.977847014726248,-0.700797098655597,1641
5bp_WETH_USDC,0.09,-2.794865599137147,-7.318905740413548,-0.7143414986546144,1641
5bp_WETH_USDC,0.1,-3.1902152097553196,-8.636874652269057,-1.2490408882532724,1641
5bp_WETH_USDC,0.11,-3.4087503166816697,-9.72527073646236,-1.1978612588070179,1641
5bp_WETH_USDC,0.12,-3.6932752136433544,-9.542182394790213,-1.0973185433762616,1641
5bp_WETH_USDC,0.13,-4.055332653742856,-8.844540059205432,-1.256375825545536,1641
5bp_WETH_USDC,0.14,-3.9368940781300656,-8.633315841458982,-1.2664036798171847,1641
5bp_WETH_USDC,0.15,-3.5677275042986585,-8.375044512305756,-0.868571752229582,1641
5bp_WETH_USDC,0.16,-3.018414961496931,-8.092485997883983,-0.7123343525262814,1641
5bp_WETH_USDC,0.17,-2.9384387273797032,-8.731717674980677,-0.7118331639846691,1641
5bp_WETH_USDC,0.18,-3.5258108671482433,-10.103749215436329,-1.1592978674691614,1641
