pool,block_number,slope,beta_shape,r2
5bp_WETH_USDC,21102263,-0.9240430483390124,0.4620215241695062,0.07841452609149802
5bp_WETH_USDC,21104663,-0.5716891142750741,0.28584455713753704,0.031628176767276805
5bp_WETH_USDC,21107063,-0.5871460561355502,0.2935730280677751,0.0333847159841314
5bp_WETH_USDC,21109463,-0.5632763394624177,0.28163816973120886,0.030426222899222588
5bp_WETH_USDC,21111863,-0.7312943702932468,0.3656471851466234,0.05123084537546352
5bp_WETH_USDC,21114263,-0.7402099213347758,0.3701049606673879,0.0525916647254383
5bp_WETH_USDC,21116663,-0.20934379053270624,0.10467189526635312,0.0037731820472499678
5bp_WETH_USDC,21119063,-0.19950294941589583,0.09975147470794792,0.0034230180200490734
5bp_WETH_USDC,21121463,-0.26756431723177965,0.13378215861588982,0.0062081046521709204
5bp_WETH_USDC,21123863,-0.23967027762243223,0.11983513881121612,0.004777708679290393
5bp_WETH_USDC,21126263,-1.762428410988893,0.8812142054944465,0.21616311368660412
5bp_WETH_USDC,21128663,-2.112425455955009,1.0562127279775044,0.2916967479264658
5bp_WETH_USDC,21131063,-2.4946665404622745,1.2473332702311373,0.3900563212021956
5bp_WETH_USDC,21133463,-3.755221864748437,1.8776109323742185,0.7111210471387639
5bp_WETH_USDC,21135863,-3.6290557270534647,1.8145278635267323,0.698942979859767
5bp_WETH_USDC,21138263,-3.9505575426494937,1.9752787713247468,0.7439936464087212
5bp_WETH_USDC,21140663,-4.043084615373653,2.0215423076868264,0.7537412675129119
5bp_WETH_USDC,21143063,-4.186097191051825,2.0930485955259126,0.7702661631154831
5bp_WETH_USDC,21145463,-4.199359379436192,2.099679689718096,0.7714650418469071
5bp_WETH_USDC,21147863,-4.374926739903853,2.1874633699519266,0.7924211492132345
5bp_WETH_USDC,21150263,-4.714879458985025,2.3574397294925125,0.8221802906584335
5bp_WETH_USDC,21152663,-4.937804527977054,2.468902263988527,0.8423320302290477
5bp_WETH_USDC,21155063,-5.274459581005791,2.6372297905028956,0.8669722506639238
5bp_WETH_USDC,21157463,-5.379077126482905,2.6895385632414524,0.9150503103635119
5bp_WETH_USDC,21159863,-5.14163476446656,2.57081738223328,0.8787248993952539
5bp_WETH_USDC,21162263,-4.838888050991063,2.4194440254955314,0.8757421342060816
5bp_WETH_USDC,21164663,-4.798839708970288,2.399419854485144,0.8460062856879613
5bp_WETH_USDC,21167063,-4.843885237625702,2.421942618812851,0.8495474402836066
5bp_WETH_USDC,21169463,-4.782103036764118,2.391051518382059,0.792853215282537
5bp_WETH_USDC,21171863,-4.222384697797552,2.111192348898776,0.8896230408894749
5bp_WETH_USDC,21174263,-4.235638806260767,2.1178194031303836,0.8888654264452143
5bp_WETH_USDC,21176663,-4.078288014323113,2.0391440071615565,0.8783299230548914
5bp_WETH_USDC,21179063,-4.088980116806348,2.044490058403174,0.8743207075520341
5bp_WETH_USDC,21181463,-4.055745569515645,2.0278727847578226,0.8729911749828981
5bp_WETH_USDC,21183863,-4.105787976579949,2.0528939882899744,0.8721093560713304
