pool,w,branch,n_ticks_median,n_ticks_p5,mass_frac_median,beta_median,beta_iqr
30bp_WBTC_WETH,0.1,above,17.0,16.0,0.5235799008766344,5.749657697453444,6.195489943015769
30bp_WBTC_WETH,0.1,below,17.0,16.0,0.05059713851608519,-1.0803408078816306,5.497654966025198
30bp_WBTC_WETH,0.15,above,25.0,24.0,0.6443227341264149,5.547340772982764,4.776934102397199
30bp_WBTC_WETH,0.15,below,25.0,25.0,0.07265970748091943,-0.8534113618897339,3.7573965636859707
30bp_WBTC_WETH,0.22,above,36.0,32.0,0.7522220368637313,5.015573971069102,3.052646308209871
30bp_WBTC_WETH,0.22,below,37.0,36.0,0.10387320097338364,-0.6282522716034553,3.187897258105367
30bp_WBTC_WETH,0.35,above,57.0,44.0,0.850408623050479,4.484472555517653,1.4424847693809055
30bp_WBTC_WETH,0.35,below,58.0,57.0,0.18747496830502589,0.07866892676831025,2.2913988063215394
30bp_WBTC_WETH,0.5,above,77.0,50.0,0.900925533046642,3.9086528281905966,1.235724857081046
30bp_WBTC_WETH,0.5,below,82.0,81.0,0.28532821382136725,0.9037736937368837,0.9610721485910201
30bp_WETH_USDC,0.02,above,3.0,3.0,0.06230681237336432,0.6803316412520218,1.4461328099536843
30bp_WETH_USDC,0.02,below,3.0,3.0,0.06006070057252826,0.4268816701789145,1.1739782414733837
30bp_WETH_USDC,0.05,above,8.0,8.0,0.1515529030285182,0.8140104173979176,2.3483945197545024
30bp_WETH_USDC,0.05,below,8.0,8.0,0.14674265702923284,-0.26645952971230485,2.264880255420277
30bp_WETH_USDC,0.1,above,17.0,16.0,0.28373221786725206,1.1499142786831318,2.5157205157538662
30bp_WETH_USDC,0.1,below,17.0,16.0,0.2632362566123379,-0.8702995412256075,3.4056756598153393
30bp_WETH_USDC,0.15,above,25.0,25.0,0.41050181310265643,1.7956440452241622,2.4298858388272846
30bp_WETH_USDC,0.15,below,25.0,25.0,0.35355644987410717,-1.6560320922323135,3.873978677145408
30bp_WETH_USDC,0.22,above,37.0,36.0,0.5556931944481637,2.1601599744541167,2.238109001729897
30bp_WETH_USDC,0.22,below,37.0,36.0,0.4362428188706379,-1.7673927262089164,3.180655302691408
30bp_WETH_USDC,0.35,above,58.0,58.0,0.7421636807073678,2.3547633932013374,2.1134275288674873
30bp_WETH_USDC,0.35,below,58.0,58.0,0.5432678386384171,-1.7293307377851308,1.7475670382344606
30bp_WETH_USDC,0.5,above,83.0,83.0,0.869434978663545,2.3557782396732088,1.3514493904451816
30bp_WETH_USDC,0.5,below,83.0,83.0,0.6260547482285155,-1.3900069800850836,0.9631283113956621
30bp_WETH_USDT,0.02,above,3.0,3.0,0.07034485559834283,1.1298735608908343,6.498322884395212
