pool,lvr_obs_total,lvr_neutral_total,ratio,cv_obs,cv_neutral
5bp_WETH_USDC,189802404.61548686,10270335.024408327,18.48064392879154,25.836276677935203,2.4797594039114865
1bp_WETH_USDC,3707486.0966378325,302513.4611285303,12.255607015988671,2.698828656974207,2.4845495605448957
30bp_WETH_USDC,29309246.69614667,4539947.68610624,6.455855600680769,3.2124614888051815,2.5037282834279
1bp_WETH_USDT,6105199.662539434,1491224.485593983,4.0940849090924205,3.1493208113323505,2.4786516035780264
5bp_WETH_USDT,18471549.00773944,2001840.0707241,9.227285075304723,3.2616812039626315,2.487966038175354
30bp_WETH_USDT,69457198.87628052,5726530.532316912,12.129019217536355,3.2615107923981688,2.492000567325795
5bp_WBTC_WETH,4758.7166280422425,696.3391678308112,6.833906302967669,4.152462581555215,2.6385917266577343
30bp_WBTC_WETH,3400.507949588573,1703.2854470371956,1.9964404413268695,2.6845452447890805,2.6527340274022952
5bp_WBTC_USDT,8235167.120090246,925158.4798194553,8.901358307494883,3.4975229511576735,2.6224491195164923
30bp_WBTC_USDT,15952248.758092303,2519666.5450847745,6.3310951955968395,3.5202814739568336,2.622437571676899
1bp_USDC_USDT,688327.9819518176,413.58850088033023,1664.2822043811657,3.663690701553238,2.992139280051864
